Arizona, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,59.7,0.3
199112,59.2,-0.2
199212,59.6,0.2
199312,59.8,0.4
199412,60.6,1.2
199512,61.0,1.6
199612,61.9,2.5
199712,60.5,1.1
199812,59.3,-0.1
199912,60.8,1.4
200012,61.7,2.3
200112,61.2,1.8
200212,61.2,1.8
200312,61.9,2.5
200412,60.4,1.0
200512,61.1,1.7
200612,61.1,1.7
200712,61.6,2.2
200812,60.6,1.2
200912,61.1,1.7
201012,60.4,1.0
201112,60.3,0.9
201212,62.1,2.7
201312,60.4,1.0
201412,62.2,2.8
201512,61.8,2.4
201612,62.2,2.8
201712,63.0,3.6
201812,62.3,2.9
201912,60.3,0.9
202012,62.6,3.2
202112,62.1,2.7
