Massachusetts, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,49.7,2.8
199112,49.6,2.7
199212,46.4,-0.5
199312,47.3,0.4
199412,47.7,0.8
199512,47.8,0.9
199612,47.3,0.4
199712,47.4,0.5
199812,50.4,3.5
199912,49.8,2.9
200012,47.5,0.6
200112,49.1,2.2
200212,49.3,2.4
200312,47.1,0.2
200412,47.6,0.7
200512,48.4,1.5
200612,50.1,3.2
200712,48.3,1.4
200812,48.6,1.7
200912,47.7,0.8
201012,50.4,3.5
201112,49.7,2.8
201212,51.3,4.4
201312,48.8,1.9
201412,47.7,0.8
201512,48.5,1.6
201612,50.3,3.4
201712,49.6,2.7
201812,49.5,2.6
201912,48.5,1.6
202012,50.9,4.0
202112,50.7,3.8
